method,source,n_poses,n_targets,pcc_mean_over_models,pcc_ci_low,pcc_ci_high,rmse_mean_over_models,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
median,gnina-af3,50,284,0.5158431557163561,0.4424101135043017,0.5827422799168348,2.261104087423181,2.0770831758884793,2.44322155257597,20000,20000
median,gnina-af3,100,284,0.5191031982997865,0.4474634317233852,0.5845400096772563,2.27381741547008,2.090510479980792,2.4550595297235764,20000,20000
median,alphafold3,1,270,0.6768228197878875,0.614106950742853,0.7316671450588034,1.6566584602251768,1.510513297609589,1.8047269452528434,20000,20000
median,alphafold3,2,270,0.6814217526846628,0.6185315634496921,0.7356925591624252,1.648091704706027,1.5004648224518473,1.797193020907981,20000,20000
median,alphafold3,3,270,0.6812924727950792,0.6181060427234952,0.7362900233377064,1.6492924305571965,1.4994507003457462,1.7998717843842682,20000,20000
median,alphafold3,5,270,0.6788057360474475,0.6149928815995533,0.7343612394574836,1.6541237749685305,1.503978746576916,1.805100773602692,20000,20000
median,alphafold3,10,270,0.680264784539107,0.6159865116828765,0.7362470919451892,1.650037909841745,1.4990273086713406,1.8025296436617544,20000,20000
median,alphafold3,20,270,0.6827441759304926,0.6189162774767316,0.7383563395992421,1.6440736137052407,1.4940500693762884,1.7956200533477988,20000,20000
median,alphafold3,30,270,0.6828011432295994,0.618585320627077,0.7386314083854324,1.6441497541719072,1.4934045630983073,1.7966329814658621,20000,20000
median,alphafold3,50,270,0.6814249377384969,0.6169242201529199,0.7376054504000303,1.6481171561646355,1.4965540551448737,1.8017910832922788,20000,20000
median,alphafold3,100,270,0.6774261554492313,0.6121036375812587,0.7352203589331501,1.6587033699997704,1.5049351280926326,1.8142910686943314,20000,20000
