method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-apo,ehign_pla,2,283,0.575280900056718,0.49466030603257644,0.6482835291689302,2.023019597105141,1.8399239392509175,2.205150181640042,20000,20000
mean,gnina-apo,ehign_pla,3,283,0.5907162901700106,0.51056267653419,0.661598254620378,2.0209823191965626,1.8424837398130547,2.199223055329876,20000,20000
mean,gnina-apo,ehign_pla,5,283,0.5862415337776681,0.5075779430056074,0.6560384083446735,2.0594114251818096,1.882974435417297,2.2343588424313134,20000,20000
mean,gnina-apo,ehign_pla,10,283,0.5740842435545479,0.4927773438220376,0.6466087196071936,2.1293782056074035,1.9490809228083208,2.3053811856112816,20000,20000
mean,gnina-apo,ehign_pla,20,284,0.5565028769549577,0.47393466239632404,0.631545659852015,2.226328023209723,2.0346632446604542,2.41699449476775,20000,20000
mean,gnina-apo,ehign_pla,30,284,0.5695987032390272,0.48970330332877987,0.6416888842121337,2.233625630397674,2.0502995182920336,2.4126809214863263,20000,20000
mean,gnina-apo,ehign_pla,50,284,0.5604371993147426,0.4810705693462673,0.6327343152762445,2.2875405307384957,2.0998310007248726,2.4731553329487594,20000,20000
mean,gnina-apo,ehign_pla,100,284,0.5578055053048735,0.4793895761007413,0.6288009326450713,2.3625940468828777,2.1734879014495805,2.549095301693556,20000,20000
mean,gnina-apo,gign,1,282,0.47983188634547796,0.3841245408348383,0.5683313771500526,2.071613483494965,1.8905186253552315,2.252240071585825,20000,20000
mean,gnina-apo,gign,2,283,0.5377599195766617,0.45223020497612665,0.6173006258336737,2.0077584967208173,1.8308742528943032,2.1823873828765827,20000,20000
mean,gnina-apo,gign,3,283,0.5658132038906044,0.4842353063166478,0.6411488537247169,1.9838276107728514,1.812203426866687,2.1504850536352884,20000,20000
mean,gnina-apo,gign,5,283,0.5471158390394012,0.4642085509834538,0.6231455982711724,2.0295476484840296,1.8584817365384896,2.196371223707236,20000,20000
mean,gnina-apo,gign,10,283,0.5561612229506664,0.4718534518252075,0.631613847110497,2.045393638608259,1.8739671560208075,2.2128080814102775,20000,20000
mean,gnina-apo,gign,20,284,0.5407495445952564,0.45222859712796293,0.6220638372013991,2.1373326220019155,1.9504437830250552,2.3269242568325916,20000,20000
