method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,alphafold3,dynaformer,50,285,0.681917365583335,0.6164632622819629,0.7404755735476339,1.597459305861302,1.4625199309099248,1.7300188365901485,20000,20000
mean,alphafold3,dynaformer,100,285,0.6882449119063564,0.623761074589297,0.7457415832502059,1.5881549002746043,1.453615243406944,1.7211538693930788,20000,20000
mean,alphafold3,egna,1,285,0.7165217610630001,0.6384801065861979,0.783662481936573,1.6183332339602838,1.4451386260085746,1.793203484504744,20000,20000
mean,alphafold3,egna,2,285,0.7145515788421231,0.636805753217627,0.7815307647234084,1.6224861527265722,1.4499190585359092,1.7965021117865774,20000,20000
mean,alphafold3,egna,3,285,0.7137611269807198,0.6352725836111859,0.7812193007196511,1.6252122608408799,1.45195780511045,1.799699752158271,20000,20000
mean,alphafold3,egna,5,285,0.7130795177964511,0.6345570005908762,0.7802482151289876,1.6256232704854652,1.4529730137183594,1.800000687370857,20000,20000
mean,alphafold3,egna,10,285,0.7131516148373584,0.6346652029040596,0.7803755271250734,1.623762698719978,1.4513546559344,1.7979299481884763,20000,20000
mean,alphafold3,egna,20,285,0.7107750475764573,0.6318542311850414,0.7783697503249845,1.6276518141390608,1.4560865461118577,1.8017780150527032,20000,20000
mean,alphafold3,egna,30,285,0.7082884138029454,0.6292758950427156,0.7762279805350045,1.632262955156377,1.4609964901637276,1.8065620451878814,20000,20000
mean,alphafold3,egna,50,285,0.7063395911438655,0.6269494143112937,0.7745020167031396,1.6356123567685699,1.4640868911882385,1.8102138862290433,20000,20000
mean,alphafold3,egna,100,285,0.7041489944589582,0.6245504934197972,0.7724538775274512,1.6420596832647434,1.4696628546970276,1.8165761613918165,20000,20000
mean,alphafold3,ehign_pla,1,270,0.7235791782613226,0.6534951968796812,0.7826816969283297,1.5872104060253864,1.4220545795259019,1.7566654448074714,20000,20000
mean,alphafold3,ehign_pla,2,270,0.7311331329675339,0.660998907059103,0.7901436697241901,1.5716309474937737,1.4040188359528465,1.7435813270559148,20000,20000
mean,alphafold3,ehign_pla,3,270,0.7309810522551419,0.6599696813597324,0.790754749419264,1.5755686858195317,1.4056115545262837,1.7503523762385649,20000,20000
mean,alphafold3,ehign_pla,5,270,0.7274088578930484,0.6552693936730033,0.7881441233386626,1.5827037817167964,1.4124812772283828,1.7589689420877446,20000,20000
mean,alphafold3,ehign_pla,10,270,0.7339303166003381,0.6638830261637533,0.7926373046540828,1.5677338698242982,1.4012740092271592,1.741097209771263,20000,20000
mean,alphafold3,ehign_pla,20,270,0.7365268574488124,0.6667473018183854,0.7950475242307868,1.560908170830213,1.3951283291511658,1.7329117328553165,20000,20000
mean,alphafold3,ehign_pla,30,270,0.7364857581735385,0.6659262920337761,0.7954802062129003,1.5628540680328369,1.395429683932596,1.7369047162453817,20000,20000
mean,alphafold3,ehign_pla,50,270,0.7355993115421418,0.6649034260367693,0.7948268874369783,1.5646438626333499,1.3964955802056191,1.7384391692028405,20000,20000
mean,alphafold3,ehign_pla,100,270,0.7326279917082125,0.6619391905576467,0.7917302731664502,1.575691984324642,1.4086291629888745,1.7488779162774242,20000,20000
