method,source,model,n_poses,pcc,rmse,n_targets
mean,alphafold3,dynaformer,10,0.6776713768058714,1.6039324434882536,285
mean,alphafold3,dynaformer,20,0.6772352262199511,1.605270116698146,285
mean,alphafold3,dynaformer,30,0.6814938694018481,1.5973594538097118,285
mean,alphafold3,dynaformer,50,0.681917365583335,1.597459305861302,285
mean,alphafold3,dynaformer,100,0.6882449119063564,1.5881549002746043,285
mean,alphafold3,egna,1,0.7165217610630001,1.6183332339602838,285
mean,alphafold3,egna,2,0.7145515788421231,1.6224861527265722,285
mean,alphafold3,egna,3,0.7137611269807198,1.6252122608408799,285
mean,alphafold3,egna,5,0.7130795177964511,1.6256232704854652,285
mean,alphafold3,egna,10,0.7131516148373584,1.623762698719978,285
mean,alphafold3,egna,20,0.7107750475764573,1.6276518141390608,285
mean,alphafold3,egna,30,0.7082884138029454,1.632262955156377,285
mean,alphafold3,egna,50,0.7063395911438655,1.6356123567685699,285
mean,alphafold3,egna,100,0.7041489944589582,1.6420596832647434,285
mean,alphafold3,ehign_pla,1,0.7235791782613226,1.5872104060253864,270
mean,alphafold3,ehign_pla,2,0.7311331329675339,1.5716309474937737,270
mean,alphafold3,ehign_pla,3,0.7309810522551419,1.5755686858195317,270
mean,alphafold3,ehign_pla,5,0.7274088578930484,1.5827037817167964,270
mean,alphafold3,ehign_pla,10,0.7339303166003381,1.5677338698242982,270
mean,alphafold3,ehign_pla,20,0.7365268574488124,1.560908170830213,270
mean,alphafold3,ehign_pla,30,0.7364857581735385,1.5628540680328369,270
mean,alphafold3,ehign_pla,50,0.7355993115421418,1.5646438626333499,270
mean,alphafold3,ehign_pla,100,0.7326279917082125,1.575691984324642,270
mean,alphafold3,gign,1,0.7115494250854131,1.5573623154715377,270
mean,alphafold3,gign,2,0.7209933231690505,1.538629166158042,270
mean,alphafold3,gign,3,0.7218769640195151,1.536350427526615,270
mean,alphafold3,gign,5,0.7250030093561032,1.5308872894318566,270
mean,alphafold3,gign,10,0.7200663778361369,1.540194421325424,270
mean,alphafold3,gign,20,0.7296351192022988,1.5194563697923642,270
mean,alphafold3,gign,30,0.7311630304348373,1.5174728387276115,270
mean,alphafold3,gign,50,0.7281615781697571,1.5260099887322993,270
mean,alphafold3,gign,100,0.7223670622004612,1.5454810658762406,270
mean,alphafold3,onionnet-2,1,0.5870685978293083,1.8747097978274332,285
mean,alphafold3,onionnet-2,2,0.592285904279151,1.8683890553610567,285
mean,alphafold3,onionnet-2,3,0.5929403295867477,1.867729725749511,285
mean,alphafold3,onionnet-2,5,0.5906280243540258,1.8718011501547653,285
mean,alphafold3,onionnet-2,10,0.5910488027785228,1.8704605257365354,285
mean,alphafold3,onionnet-2,20,0.5915743951131787,1.8684479295896388,285
mean,alphafold3,onionnet-2,30,0.5907056590376042,1.8706098457039309,285
mean,alphafold3,onionnet-2,50,0.5897608698072168,1.8728815376700543,285
mean,alphafold3,onionnet-2,100,0.5837172073376208,1.8847161586195618,285
